Sample_ID,Smp,Design,Fraction,Ext,PCR,SFEP
MTB05,5,Y,MPFpcr,Pool,Pool8,N.MPFpcr.Pool.Pool8
MTB05-A-01-PP,5,Y,Lrg,Ea,MPPpcr,N.Lrg.Ea.MPPpcr
MTB05-A-02-PP,5,Y,Lrg,Eb,MPPpcr,N.Lrg.Eb.MPPpcr
MTB05-B-01-PP,5,Y,Sml,Ea,MPPpcr,N.Sml.Ea.MPPpcr
MTB05-B-02-PP,5,Y,Sml,Eb,MPPpcr,N.Sml.Eb.MPPpcr
MTB09,9,Y,MPFpcr,Pool,Pool8,Y.MPFpcr.Pool.Pool8
MTB09-A-01-P1,9,Y,Lrg,Ea,Px,Y.Lrg.Ea.Px
MTB09-A-01-P2,9,Y,Lrg,Ea,Py,Y.Lrg.Ea.Py
MTB09-A-01-PP,9,Y,Lrg,Ea,MPPpcr,Y.Lrg.Ea.MPPpcr
MTB09-A-02-PP,9,Y,Lrg,Eb,MPPpcr,Y.Lrg.Eb.MPPpcr
MTB09-AB-01-PP,9,Y,MPFext,Ea,MPPpcr,Y.MPFext.Ea.MPPpcr
MTB09-AB-02-PP,9,Y,MPFext,Eb,MPPpcr,Y.MPFext.Eb.MPPpcr
MTB09-B-01-P1,9,Y,Sml,Ea,Px,Y.Sml.Ea.Px
MTB09-B-01-P2,9,Y,Sml,Ea,Py,Y.Sml.Ea.Py
MTB09-B-01-PP,9,Y,Sml,Ea,MPPpcr,Y.Sml.Ea.MPPpcr
MTB09-B-02-PP,9,Y,Sml,Eb,MPPpcr,Y.Sml.Eb.MPPpcr
MTB09-NS-01-P1,9,Y,MPFcom,Ea,Px,Y.MPFcom.Ea.Px
MTB09-NS-01-P2,9,Y,MPFcom,Ea,Py,Y.MPFcom.Ea.Py
MTB09-NS-01-PP,9,Y,MPFcom,Ea,MPPpcr,Y.MPFcom.Ea.MPPpcr
MTB09-NS-02-PP,9,Y,MPFcom,Eb,MPPpcr,Y.MPFcom.Eb.MPPpcr
MTB11,11,Y,MPFpcr,Pool,Pool8,Y.MPFpcr.Pool.Pool8
MTB11-A-01-PP,11,Y,Lrg,Ea,MPPpcr,Y.Lrg.Ea.MPPpcr
MTB11-A-02-PP,11,Y,Lrg,Eb,MPPpcr,Y.Lrg.Eb.MPPpcr
MTB11-AB-01-PP,11,Y,MPFext,Ea,MPPpcr,Y.MPFext.Ea.MPPpcr
MTB11-AB-02-PP,11,Y,MPFext,Eb,MPPpcr,Y.MPFext.Eb.MPPpcr
MTB11-B-02-PP,11,Y,Sml,Eb,MPPpcr,Y.Sml.Eb.MPPpcr
MTB11-NS-01-PP,11,Y,MPFcom,Ea,MPPpcr,Y.MPFcom.Ea.MPPpcr
MTB11-NS-02-PP,11,Y,MPFcom,Eb,MPPpcr,Y.MPFcom.Eb.MPPpcr
MTB14,14,Y,MPFpcr,Pool,Pool8,N.MPFpcr.Pool.Pool8
MTB14-A-01-PP,14,Y,Lrg,Ea,MPPpcr,N.Lrg.Ea.MPPpcr
MTB14-A-02-PP,14,Y,Lrg,Eb,MPPpcr,N.Lrg.Eb.MPPpcr
MTB14-B-01-PP,14,Y,Sml,Ea,MPPpcr,N.Sml.Ea.MPPpcr
MTB14-B-02-PP,14,Y,Sml,Eb,MPPpcr,N.Sml.Eb.MPPpcr
MTB20,20,Y,MPFpcr,Pool,Pool8,N.MPFpcr.Pool.Pool8
MTB20-A-01-PP,20,Y,Lrg,Ea,MPPpcr,N.Lrg.Ea.MPPpcr
MTB20-B-01-PP,20,Y,Sml,Ea,MPPpcr,N.Sml.Ea.MPPpcr
MTB20-B-02-PP,20,Y,Sml,Eb,MPPpcr,N.Sml.Eb.MPPpcr
MTB21,21,Y,MPFpcr,Pool,Pool8,Y.MPFpcr.Pool.Pool8
MTB21-A-01-P1,21,Y,Lrg,Ea,Px,Y.Lrg.Ea.Px
MTB21-A-01-P2,21,Y,Lrg,Ea,Py,Y.Lrg.Ea.Py
MTB21-A-01-PP,21,Y,Lrg,Ea,MPPpcr,Y.Lrg.Ea.MPPpcr
MTB21-A-02-PP,21,Y,Lrg,Eb,MPPpcr,Y.Lrg.Eb.MPPpcr
MTB21-AB-01-PP,21,Y,MPFext,Ea,MPPpcr,Y.MPFext.Ea.MPPpcr
MTB21-AB-02-PP,21,Y,MPFext,Eb,MPPpcr,Y.MPFext.Eb.MPPpcr
MTB21-B-01-P1,21,Y,Sml,Ea,Px,Y.Sml.Ea.Px
MTB21-B-01-P2,21,Y,Sml,Ea,Py,Y.Sml.Ea.Py
MTB21-B-01-PP,21,Y,Sml,Ea,MPPpcr,Y.Sml.Ea.MPPpcr
MTB21-B-02-PP,21,Y,Sml,Eb,MPPpcr,Y.Sml.Eb.MPPpcr
MTB21-NS-01-PP,21,Y,MPFcom,Ea,MPPpcr,Y.MPFcom.Ea.MPPpcr
MTB21-NS-02-P1,21,Y,MPFcom,Eb,Px,Y.MPFcom.Eb.Px
MTB21-NS-02-P2,21,Y,MPFcom,Eb,Py,Y.MPFcom.Eb.Py
MTB21-NS-02-PP,21,Y,MPFcom,Eb,MPPpcr,Y.MPFcom.Eb.MPPpcr
MTB27,27,Y,MPFpcr,Pool,Pool8,N.MPFpcr.Pool.Pool8
MTB27-A-01-PP,27,Y,Lrg,Ea,MPPpcr,N.Lrg.Ea.MPPpcr
MTB27-A-02-PP,27,Y,Lrg,Eb,MPPpcr,N.Lrg.Eb.MPPpcr
MTB27-B-01-PP,27,Y,Sml,Ea,MPPpcr,N.Sml.Ea.MPPpcr
MTB27-B-02-PP,27,Y,Sml,Eb,MPPpcr,N.Sml.Eb.MPPpcr
MTB30,30,Y,MPFpcr,Pool,Pool8,N.MPFpcr.Pool.Pool8
MTB30-A-01-PP,30,Y,Lrg,Ea,MPPpcr,N.Lrg.Ea.MPPpcr
MTB30-A-02-PP,30,Y,Lrg,Eb,MPPpcr,N.Lrg.Eb.MPPpcr
MTB30-B-01-PP,30,Y,Sml,Ea,MPPpcr,N.Sml.Ea.MPPpcr
MTB30-B-02-PP,30,Y,Sml,Eb,MPPpcr,N.Sml.Eb.MPPpcr
MTB09_BCF,9,BCF,NA,NA,NA,Y.BCF.Pool.Pool
MTB11_BCF,11,BCF,NA,NA,NA,Y.BCF.Pool.Pool
MTB21_BCF,21,BCF,NA,NA,NA,Y.BCF.Pool.Pool
MTB05_lrg_BCE,5,NA,BCE,NA,NA,Y.Pool.BCE.Pool
MTB05_sml_BCE,5,NA,BCE,NA,NA,Y.Pool.BCE.Pool
MTB09_lrg_BCE,9,NA,BCE,NA,NA,Y.Pool.BCE.Pool
MTB09_MPFcom_BCE,9,NA,BCE,NA,NA,Y.Pool.BCE.Pool
MTB09_MPFext_BCE,9,NA,BCE,NA,NA,Y.Pool.BCE.Pool
MTB09_sml_BCE,9,NA,BCE,NA,NA,Y.Pool.BCE.Pool
MTB11_lrg_BCE,11,NA,BCE,NA,NA,Y.Pool.BCE.Pool
MTB11_MPFcom_BCE,11,NA,BCE,NA,NA,Y.Pool.BCE.Pool
MTB11_MPFext_BCE,11,NA,BCE,NA,NA,Y.Pool.BCE.Pool
MTB11_sml_BCE,11,NA,BCE,NA,NA,Y.Pool.BCE.Pool
