Phylum,Class,Order,Family,Genus,Species,Species name
Annelida,Polychaeta,Spionida,Spionidae,Boccardia,,
Annelida,Polychaeta,Spionida,Chaetopteridae,Chaetopteris,,
Annelida,Polychaeta,Spionida,Cirratulidae,,,
Annelida,Polychaeta,Spionida,Acrocirridae,,,
Annelida,Polychaeta,Capitellida,Capitellidae,,,
Annelida,Polychaeta,Capitellida,Maldanidae,,,
Annelida,Polychaeta,Opheliida,Scalibregmidae,Hyboscolex,,
Annelida,Polychaeta,Phyllodocida,Phyllodocidae,,,
Annelida,Polychaeta,Phyllodocida,Polynoidae,Lepidonotus,polychromus,Lepidonotus polychromus
Annelida,Polychaeta,Phyllodocida,Sigalionidae,,,
Annelida,Polychaeta,Phyllodocida,Chrysopetalidae,,,
Annelida,Polychaeta,Phyllodocida,Syllidae,,,
Annelida,Polychaeta,Phyllodocida,Nereidae,Nereis,falcaria,Nereis falcaria
Annelida,Polychaeta,Phyllodocida,Nereidae,Platynereis,australis,Platynereis australis
Annelida,Polychaeta,Phyllodocida,Nereidae,,,
Annelida,Polychaeta,Phyllodocida,Glyceridae,,,
Annelida,Polychaeta,Amphinomida,Euphrosinidae,,,
Annelida,Polychaeta,Eunicida,Eunicidae,Eunice,australis,Eunice australis
Annelida,Polychaeta,Eunicida,Eunicidae,Lysidice,ninetta,Lysidice ninetta
Annelida,Polychaeta,Eunicida,Lumbrineridae,,,
Annelida,Polychaeta,Eunicida,Dorvillidae,,,
Annelida,Polychaeta,Flabelligerida,Flabelligeridae,Flabelligera,bicolor,Flabelligera bicolor
Annelida,Polychaeta,Flabelligerida,Flabelligeridae,Pherusa,parmata,Pherusa parmata
Annelida,Polychaeta,Flabelligerida,Flabelligeridae,,,
Annelida,Polychaeta,Terebellida,Terebellidae,,,
Annelida,Polychaeta,Terebellida,Sabellariidae,,,
Annelida,Polychaeta,Terebellida,Ampharetidae,,,
Annelida,Polychaeta,Terebellida,Trichobranchidae,Terebellides,,
Annelida,Polychaeta,Sabellida,Sabellidae,Branchiomma,,
Annelida,Polychaeta,Sabellida,Sabellidae,,,
Annelida,Polychaeta,Sabellida,Serpulidae,,,
Annelida,Polychaeta,Sabellida,Spirorbinae,,,
Arthropoda,Ostracoda,,,,,
Arthropoda,Hexanauplia,Harpacticoida,,,,
Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,amphitrite,Balanus amphitrite
Arthropoda,Malacostraca,Cumacea,,,,
Arthropoda,Malacostraca,Tanaidacea,,,,
Arthropoda,Malacostraca,Isopoda,Gnathiidea,,,
Arthropoda,Malacostraca,Isopoda,Arcturidae,Astacilla,falclandia,Astacilla falclandia
Arthropoda,Malacostraca,Isopoda,Arcturidae,Astacilla,sp,
Arthropoda,Malacostraca,Isopoda,Jaeropsidae,Jaeropsis,sp. 1,
Arthropoda,Malacostraca,Isopoda,Jaeropsidae,Jaeropsis,sp. 2,
Arthropoda,Malacostraca,Isopoda,Janiridae,,,
Arthropoda,Malacostraca,Isopoda,Janiridae,,,
Arthropoda,Malacostraca,Isopoda,Janiridae,,,
Arthropoda,Malacostraca,Isopoda,Janiridae,,,
Arthropoda,Malacostraca,Isopoda,Limnoriidae,,,
Arthropoda,Malacostraca,Isopoda,Munnidae,,,
Arthropoda,Malacostraca,Isopoda,Plakarthriidae,Plakarthrium,typicum,Plakarthrium typicum
Arthropoda,Malacostraca,Amphipoda,Amphilochidae,Amphilochidae,,
Arthropoda,Malacostraca,Amphipoda,Ceinidae,Taihape,karori,Taihape karori
Arthropoda,Malacostraca,Amphipoda,Colomastigidae,Colomastix,,
Arthropoda,Malacostraca,Amphipoda,Corophiida,,,
Arthropoda,Malacostraca,Amphipoda,Dexaminidae,Paradexamine,pacifica,Paradexamine pacifica
Arthropoda,Malacostraca,Amphipoda,Dexaminidae,Polycheria,obtusa,Polycheria obtusa
Arthropoda,Malacostraca,Amphipoda,Dexaminidae,,,
Arthropoda,Malacostraca,Amphipoda,Gammaridae,Melita,awa,Melita awa
Arthropoda,Malacostraca,Amphipoda,Iphimediidae,Iphimedia,haurakiensis,Iphimedia haurakiensis
Arthropoda,Malacostraca,Amphipoda,Isaeidae,Photis,,
Arthropoda,Malacostraca,Amphipoda,Leucothoidae,Leucothoe,trailli,Leucothoe trailli
Arthropoda,Malacostraca,Amphipoda,Liljeborgiidae,Liljeborgia,akaroica,Liljeborgia akaroica
Arthropoda,Malacostraca,Amphipoda,Lysianassidae,Amaryllis,macrophthalmus,Amaryllis macrophthalmus
Arthropoda,Malacostraca,Amphipoda,Lysianassidae,Orchomene,,
Arthropoda,Malacostraca,Amphipoda,Lysianassidae,Parawaldeckia,suzae,Parawaldeckia suzae
