LrgvsSml,BAFvsMPFpcr,BCFvsMPFpcr ,BAFvsMPFext,MPFextvsMPFcom,EAvsEB,BAEvsMPEext,BCEvsMPEext,PXvsPY,BAPvsMPPpcr,BCPvsMPPpcr,,,,,,,,,,,,,
1,0,0,0,0,1,0.5,0,0,0,0,-0.352574624,-0.33642885,0.027872107,0.040811233,-0.024697476,-0.01453398,-0.33642885,0.027872107,-0.231840688,-0.33642885,0.027872107,0.026775715,0.259867495
1,0,0,0,0,-1,0.5,0,0,0,0,-0.34011939,0.234444745,0.09131477,0.432399141,0.116252498,0.046819798,0.234444745,0.09131477,0.236653832,0.234444745,0.09131477,0.065646242,-0.217434401
0,0,0,0,0,0,-1,-1,0,0,0,-0.42380067,-0.01278726,0.014018176,0.018159539,-0.118598277,-0.278768869,-0.01278726,0.014018176,0.052961085,-0.01278726,0.014018176,0.109199896,-0.099187379
-1,0,0,0,0,1,0.5,0,0,0,0,-0.211758178,0.150850911,0.040666363,-0.46778093,-0.327744717,0.12881508,0.150850911,0.040666363,0.132189897,0.150850911,0.040666363,0.276953686,-0.188680271
-1,0,0,0,0,-1,0.5,0,0,0,0,0.056850851,-0.074441326,-0.131816887,0.030889634,-0.001006859,-0.718638637,-0.074441326,-0.131816887,-0.031080872,-0.074441326,-0.131816887,-0.150975852,-0.052127582
0,0,1,0,0,0,0,0,0,0,0,0.108559036,-0.016907748,-0.035833569,-0.078030314,0.091541365,0.135969756,-0.016907748,-0.035833569,0.052547109,-0.016907748,-0.035833569,-0.001205949,0.087967296
1,0.5,0,0.5,0,1,0.5,0,0,-1,-1,0.081203211,0.141234598,0.014467487,-0.309028304,0.086347751,-0.18333648,0.141234598,0.014467487,-0.317905961,0.141234598,0.014467487,-0.278123199,-0.249994877
0,0,0,0,0,0,0,0,1,0.5,0,0.16662968,-0.227572431,-0.041267238,0.065734718,0.116989967,0.155945839,-0.227572431,-0.041267238,0.047387334,-0.227572431,-0.041267238,0.057498186,-0.726098395
0,0,0,0,0,0,0,0,-1,0.5,0,-0.114958565,0.053125391,-0.329107577,0.171808697,-0.364880392,0.266797492,0.053125391,-0.329107577,-0.098588253,0.053125391,-0.329107577,-0.411253589,-0.063526016
1,0.5,0,0.5,0,-1,0.5,0,0,0,0,0.296249169,-0.0689455,-0.155469757,-0.224052845,-0.204959684,0.008251549,-0.0689455,-0.155469757,0.41860101,-0.0689455,-0.155469757,0.293695189,0.1963417
0,0,0,0,-1,1,0,0,0,-1,-1,0.064565986,-0.023583871,0.011316863,-0.043627297,0.190529688,-0.017336349,-0.023583871,0.011316863,0.520336642,-0.023583871,0.011316863,-0.356542541,0.083009475
0,0,0,0,0,0,0,0,1,0.5,0,0.048377821,-0.23864216,0.035395999,0.030707765,-0.05748515,-0.033838926,0.761357841,0.035395999,-0.080204012,-0.23864216,0.035395999,-0.066761389,0.21769707
0,0,0,0,0,0,0,0,-1,0.5,0,0.142240569,0.001125233,-0.201990554,-0.004650228,0.103138303,-0.070789477,0.001125233,0.798009446,-0.031545483,0.001125233,-0.201990554,0.089489203,-0.00316039
0,0,0,0,-1,-1,0,0,0,-1,-1,0.043993051,0.006676123,-0.047150432,-0.034403016,-0.098988323,0.153306105,0.006676123,-0.047150432,-0.467789533,0.006676123,-0.047150432,0.355336592,0.004957821
0,0,0,0,0,0,0,0,1,0.5,0,0.048377821,-0.23864216,0.035395999,0.030707765,-0.05748515,-0.033838926,-0.23864216,0.035395999,-0.080204012,0.761357841,0.035395999,-0.066761389,0.21769707
0,0,0,0,0,0,0,0,-1,0.5,0,0.142240569,0.001125233,-0.201990554,-0.004650228,0.103138303,-0.070789477,0.001125233,-0.201990554,-0.031545483,0.001125233,0.798009446,0.089489203,-0.00316039
