ASV_ID	Domain	Kingdom	Phylum	Class	Order	Family	Genus	Species
b33ba7a8f43635029744e08a0158bf88	d__Eukaryota	k__Metazoa	p__Annelida	c__Clitellata				
414d71c9ae0ad7f9361fcb3f3045670f	d__Eukaryota	k__Metazoa	p__Annelida	c__Clitellata				
0ec058c6e765d4a833b6ef9f3be4c52e	d__Eukaryota	k__Metazoa	p__Annelida	c__Clitellata				
0bb6dbb350a762aa6f86335401b040fe	d__Eukaryota	k__Metazoa	p__Annelida	c__Clitellata				
9b0cf77ab2be5c1492392fb1540bb358	d__Eukaryota	k__Metazoa	p__Annelida	c__Clitellata				
b9625e35ae4091882963feab9a1101d6	d__Eukaryota	k__Metazoa	p__Annelida	c__Clitellata	o__Enchytraeida	f__Enchytraeidae	g__Grania	s__Grania brasiliensis
4afb92d576a7ffbb3842c3aeebf23daf	d__Eukaryota	k__Metazoa	p__Annelida	c__Clitellata	o__Enchytraeida	f__Enchytraeidae	g__Grania	s__Grania brasiliensis
fa996bcd6a21a9e31c5e5375bd4083ff	d__Eukaryota	k__Metazoa	p__Annelida	c__Clitellata	o__Haplotaxida			
153f81773e92707ef29e6cda894dd636	d__Eukaryota	k__Metazoa	p__Annelida	c__Clitellata	o__Haplotaxida	f__Megascolecidae	g__Amynthas	
a8a432b27924106e1ac9e13c9c0370c4	d__Eukaryota	k__Metazoa	p__Annelida	c__Clitellata	o__Haplotaxida	f__Megascolecidae	g__Amynthas	
ff07676dc57405c746c67f5e079aa5e1	d__Eukaryota	k__Metazoa	p__Annelida	c__Clitellata	o__Haplotaxida	f__Megascolecidae	g__Amynthas	
93505c10b908fdf75792bd010ad62d5d	d__Eukaryota	k__Metazoa	p__Annelida	c__Clitellata	o__Haplotaxida	f__Megascolecidae	g__Amynthas	
224301531a639b9b94ebfb33a8ab8931	d__Eukaryota	k__Metazoa	p__Annelida	c__Clitellata	o__Hirudinida	f__Glossiphoniidae	g__Glossiphonia	s__Glossiphonia complanata
c54bf9997bf1d253f4ad51fed0aeb59a	d__Eukaryota	k__Metazoa	p__Annelida	c__Clitellata	o__Hirudinida	f__Glossiphoniidae	g__Glossiphonia	s__Glossiphonia complanata
cb1899538015de0446e308a39ca6b999	d__Eukaryota	k__Metazoa	p__Annelida	c__Clitellata	o__Hirudinida	f__Glossiphoniidae	g__Glossiphonia	s__Glossiphonia complanata
